scenario,obstacle_count,episodes,success_rate_pct,collision_rate_pct,path_length_m,flight_time_s,gate_post_radius_m,drone_radius_m,gate_half_width_m,effective_opening_m
static,6.0,3.0,100.0,0.0,67.96754326950759,105.76666666666667,0.14,0.12,3.2,5.88
static,12.0,3.0,100.0,0.0,68.32270871382207,87.06666666666668,0.14,0.12,3.2,5.88
static,18.0,3.0,100.0,0.0,67.11579674730699,66.7,0.14,0.12,3.2,5.88
static,24.0,3.0,100.0,0.0,67.01524378359318,58.53333333333334,0.14,0.12,3.2,5.88
static,30.0,3.0,100.0,0.0,66.93881337593,51.06666666666667,0.14,0.12,3.2,5.88
static,36.0,3.0,100.0,0.0,67.01408108199637,44.56666666666666,0.14,0.12,3.2,5.88
static,42.0,3.0,100.0,0.0,66.83515013071398,39.5,0.14,0.12,3.2,5.88
static,48.0,3.0,100.0,0.0,66.71181149718662,35.03333333333333,0.14,0.12,3.2,5.88
static,54.0,3.0,100.0,0.0,66.58934528877337,35.233333333333334,0.14,0.12,3.2,5.88
static,60.0,3.0,100.0,0.0,66.52500183073182,35.26666666666667,0.14,0.12,3.2,5.88
dynamic,6.0,3.0,100.0,0.0,67.32208104447152,106.40000000000002,0.24,0.22,2.4,3.8800000000000003
dynamic,12.0,3.0,100.0,0.0,66.7808508289357,85.73333333333333,0.24,0.22,2.4,3.8800000000000003
dynamic,18.0,3.0,100.0,0.0,67.86914550513029,67.73333333333333,0.24,0.22,2.4,3.8800000000000003
dynamic,24.0,3.0,100.0,0.0,68.02222465506445,60.23333333333334,0.24,0.22,2.4,3.8800000000000003
dynamic,30.0,3.0,100.0,0.0,67.2264022945116,53.199999999999996,0.24,0.22,2.4,3.8800000000000003
dynamic,36.0,3.0,100.0,0.0,67.08672046164672,47.0,0.24,0.22,2.4,3.8800000000000003
dynamic,42.0,3.0,66.66666666666666,33.33333333333333,57.9646767595162,35.366666666666674,0.24,0.22,2.4,3.8800000000000003
dynamic,48.0,3.0,100.0,0.0,66.76521669949095,37.199999999999996,0.24,0.22,2.4,3.8800000000000003
dynamic,54.0,3.0,66.66666666666666,33.33333333333333,60.30918977347513,34.03333333333333,0.24,0.22,2.4,3.8800000000000003
dynamic,60.0,3.0,100.0,0.0,66.66900360087554,38.03333333333333,0.24,0.22,2.4,3.8800000000000003
