method,gate_count,seed_count,status,success_rate,collision_rate,progress_distance_m_mean,path_length_m_mean,path_length_m_mean_n,flight_time_s_mean,mean_speed_mps_mean,mean_speed_mps_mean_n,min_clearance_m_mean,min_clearance_m_mean_n,dynamic_swept_collision_count_mean,dynamic_swept_collision_count_mean_n,moving_gate_swept_clearance_m_min_mean
astar,0,10,planner_baseline,1.0,0.0,53.20000000000006,53.20000000000019,10,15.2,3.5000000000000044,10,,0,,0,0.0
theta_star,0,10,planner_baseline,1.0,0.0,53.20000000000006,53.20000000000019,10,15.2,3.5000000000000044,10,,0,,0,0.0
rrt_star,0,10,planner_baseline,1.0,0.0,53.20000000000006,53.20000000000019,10,15.2,3.5000000000000044,10,,0,,0,0.0
informed_rrt_star,0,10,planner_baseline,1.0,0.0,53.20000000000006,53.20000000000019,10,15.2,3.5000000000000044,10,,0,,0,0.0
heuristic,0,10,planner_baseline,1.0,0.0,53.20000000000006,53.20000000000019,10,15.2,3.5000000000000044,10,,0,,0,0.0
ego_planner,0,10,planner_baseline,1.0,0.0,53.20000000000006,53.20000000000019,10,15.2,3.5000000000000044,10,,0,,0,0.0
fast_planner,0,10,planner_baseline,1.0,0.0,53.20000000000006,53.20000000000019,10,15.2,3.5000000000000044,10,,0,,0,0.0
ours_mainline,1,10,passed,1.0,0.0,53.45163777609374,53.77346010931898,10,17.64,3.0492978102488304,10,3.6459507354384377,10,0.0,10,3.64512490746102
ours_mainline,6,10,passed,1.0,0.0,53.45462821113597,57.37404883369299,10,26.440000000000005,2.2063719069926133,10,0.19125594793398296,10,0.0,10,0.1902056866950181
astar,6,10,planner_baseline,0.3,0.7,37.60542323609194,38.74500000000009,10,11.069999999999999,3.499999999999999,10,0.16023707046327837,10,,0,0.16023707046327837
theta_star,6,10,planner_baseline,0.3,0.7,37.67651514078003,38.5350000000001,10,11.010000000000002,3.500000000000001,10,0.14305307045386167,10,,0,0.14305307045386165
rrt_star,6,10,planner_baseline,0.5,0.1,31.69895301770511,33.42500000000009,10,35.269999999999996,2.1,10,1.9008735791265075,10,,0,1.9008735791265075
