sample_id,LD1,class
0,3.8410789708644932,1
1,2.7789833992143205,1
2,2.4928746543613687,1
3,4.80840002567081,1
4,0.7616755231880894,1
5,4.294480040835298,1
6,4.70251532414916,1
7,4.306928359666401,1
8,3.1669649700826157,1
9,2.767558333353979,1
10,3.8859469131277464,1
11,3.0999365015658356,1
12,3.257085772093977,1
13,4.141843110199792,1
14,5.302790296002616,1
15,3.5394074410017042,1
16,3.340013648859915,1
17,2.097341282018151,1
18,5.057522874834074,1
19,2.8855658807070985,1
20,2.1359737080709555,1
21,1.5096699143203338,1
22,3.0607308915691815,1
23,1.806023221106944,1
24,1.7960943053606782,1
25,0.8860057681371275,1
26,3.226183696116733,1
27,1.8084488755492678,1
28,2.4382389363505497,1
29,2.557416740658649,1
30,2.0522069688397355,1
31,3.120375850962293,1
32,1.59384921097838,1
33,2.7715406412938597,1
34,2.1776012493549706,1
35,1.327007823584088,1
36,2.1801533890823426,1
37,1.3535669416673355,1
38,0.8851019381911759,1
39,3.5909681079674627,1
40,1.3801665925943547,1
41,1.50599526834562,1
42,3.9461790874540927,1
43,0.6424211259423411,1
44,0.6245632068724253,1
45,3.320343139231892,1
46,3.428538757505684,1
47,2.1124484950494185,1
48,1.9643808738686488,1
49,3.1081357967306795,1
50,1.987046076033352,1
51,3.728920508387141,1
52,3.5245984425844963,1
53,3.7337741861961415,1
54,2.426094312637634,1
55,1.5453479769226819,1
56,2.5018191636979283,1
57,3.0909937175441096,1
58,3.1442854837606724,1
59,-3.249137456598294,2
60,-2.047105877775402,2
61,-2.9279659572075096,2
62,-1.0068014278470676,2
63,-2.6569254555885466,2
64,-2.6592796069610873,2
65,-1.126180477918946,2
66,-1.3679995128899427,2
67,-1.9950875191481723,2
68,-0.7270803307910126,2
69,-2.138497483860023,2
70,-1.9286223674986012,2
71,-1.0348727399271809,2
72,-1.7784611093107008,2
73,-0.8418451920877826,2
74,-1.570594757249982,2
75,-3.3540748675829843,2
76,-2.4637699578577132,2
77,-2.25572470944111,2
78,-1.7564964652097985,2
79,-1.771926830777533,2
80,-3.543142012301546,2
81,-0.4949351736763903,2
82,-2.6591781696797505,2
83,-1.991266772094842,2
84,-1.5267365430087434,2
85,-1.576479759860215,2
86,-3.4219116758340458,2
87,-2.845258770842788,2
88,-2.1651862160631823,2
89,-2.5797172365759806,2
90,-2.6154234519683475,2
91,-2.959827572022821,2
92,-2.676588636269472,2
93,-2.096795621205609,2
94,-2.916583162807032,2
95,-1.185627017201559,2
96,-2.039950827428345,2
97,-2.43732152181945,2
98,-1.7570431047928852,2
99,-2.3170832262618286,2
100,-2.059002821815547,2
101,-2.1453896809450526,2
102,-1.5277621521129565,2
103,-4.220127875655979,2
104,-1.421124724651286,2
105,-2.399550772832176,2
106,-1.7696430588377026,2
107,-2.4439730489315115,2
108,-3.4603574611973666,2
109,-1.197281012985162,2
110,-3.7439311739796053,2
111,-2.8161828897813983,2
112,-0.9268951387513455,2
113,-3.8229008334230663,2
114,-2.5190163289559626,2
115,-4.604955851430422,2
116,-3.0464173179793614,2
117,-3.1100561976589782,2
118,-2.0139069500481526,2
119,-2.2145317202075527,2
120,-1.639103784122782,2
121,-1.2471450925367802,2
122,-2.0831688068192116,2
123,-1.301578403776147,2
124,-1.805342275418931,2
125,-2.5975630531461436,2
126,-2.6406077739802845,2
127,-3.7448665554105496,2
128,-3.5307347589102527,2
129,-2.0044996207729233,2
