name,owner,kind,x,y,yaw_deg,front_probe_x,front_probe_y,plane_angle_x_deg,plane_angle_y_deg,min_blocker_clearance_m,arena_clearance_m,line_blocked_by,center_overlaps,visual_overlaps
T01_NorthMiddle,blue,normal,0.18,1.26,-45.0,0.3921,1.0479,45.0,45.0,0.16,0.205,,,
T02_NorthEast,blue,normal,1.26,1.26,-135.0,1.0479,1.0479,45.0,45.0,0.24,0.205,,,
T03_WestAboveGate,blue,normal,-1.26,0.24,45.0,-1.0479,0.4521,45.0,45.0,0.22,0.205,,,
T04_WestBelowGate,yellow,normal,-1.26,-0.24,-45.0,-1.0479,-0.4521,45.0,45.0,0.22,0.205,,,
T05_EastAboveGate,blue,normal,1.26,0.24,135.0,1.0479,0.4521,45.0,45.0,0.22,0.205,,,
T06_EastBelowGate,yellow,normal,1.26,-0.24,-135.0,1.0479,-0.4521,45.0,45.0,0.22,0.205,,,
T07_SouthWest,yellow,normal,-1.26,-1.26,45.0,-1.0479,-1.0479,45.0,45.0,0.24,0.205,,,
T08_SouthMiddle,yellow,normal,-0.18,-1.26,135.0,-0.3921,-1.0479,45.0,45.0,0.16,0.205,,,
BlueBaseTarget,blue,base_blue,-1.36,1.36,-45.0,-1.0489,1.0489,45.0,45.0,0.14,0.095,armor_2;armor_3,,
YellowBaseTarget,yellow,base_yellow,1.36,-1.36,135.0,1.0489,-1.0489,45.0,45.0,0.14,0.095,armor_6;armor_7,,
